time[sec],ax[m/s^2],ay[m/s^2],az[m/s^2],gx[rad/s],gy[rad/s],gz[rad/s]
0.010,0.244,-0.177,9.556,-0.024,0.008,0.011
0.020,0.273,-0.196,9.556,-0.026,0.006,0.007
0.030,0.244,-0.206,9.542,-0.023,0.008,0.010
0.040,0.240,-0.139,9.479,-0.025,0.011,0.010
0.050,0.254,-0.172,9.638,-0.029,0.008,0.010
0.060,0.278,-0.196,9.422,-0.030,0.016,0.009
0.070,0.278,-0.206,9.532,-0.027,0.010,0.010
0.080,0.254,-0.168,9.470,-0.031,0.010,0.009
0.090,0.259,-0.187,9.532,-0.027,0.013,0.009
0.100,0.196,-0.230,9.470,-0.030,0.008,0.010
0.110,0.216,-0.158,9.499,-0.026,0.006,0.011
0.120,0.263,-0.125,9.508,-0.028,0.013,0.008
0.130,0.244,-0.163,9.561,-0.030,0.003,0.010
0.140,0.331,-0.201,9.532,-0.026,0.008,0.009
0.150,0.225,-0.163,9.494,-0.026,0.009,0.009
0.160,0.249,-0.240,9.508,-0.029,0.008,0.011
0.170,0.268,-0.196,9.489,-0.028,0.009,0.009
0.180,0.331,-0.192,9.494,-0.023,0.012,0.009
0.190,0.297,-0.144,9.499,-0.024,0.008,0.011
0.200,0.244,-0.148,9.532,-0.029,0.007,0.008
0.210,0.259,-0.168,9.494,-0.025,0.016,0.008
0.220,0.235,-0.177,9.465,-0.029,0.013,0.009
0.230,0.278,-0.187,9.585,-0.024,0.011,0.010
0.240,0.225,-0.182,9.566,-0.027,0.008,0.009
0.250,0.307,-0.125,9.460,-0.027,0.010,0.009
0.260,0.230,-0.172,9.523,-0.025,0.007,0.008
0.270,0.263,-0.144,9.561,-0.030,0.013,0.011
0.280,0.240,-0.187,9.460,-0.030,0.009,0.014
0.290,0.273,-0.192,9.513,-0.023,0.009,0.011
0.300,0.287,-0.134,9.513,-0.030,0.013,0.009
0.310,0.244,-0.225,9.527,-0.032,0.006,0.010
0.320,0.292,-0.163,9.494,-0.029,0.006,0.010
0.330,0.230,-0.216,9.499,-0.026,0.008,0.010
0.340,0.350,-0.144,9.513,-0.028,0.009,0.012
0.350,0.254,-0.211,9.508,-0.029,0.013,0.010
0.360,0.263,-0.182,9.551,-0.028,0.009,0.009
0.370,0.240,-0.120,9.618,-0.028,0.005,0.011
0.380,0.292,-0.177,9.465,-0.025,0.003,0.013
0.390,0.316,-0.148,9.479,-0.027,0.011,0.009
0.400,0.240,-0.211,9.575,-0.027,0.009,0.009
0.410,0.235,-0.172,9.475,-0.032,0.003,0.007
0.420,0.273,-0.148,9.518,-0.028,0.011,0.008
0.430,0.316,-0.211,9.542,-0.027,0.012,0.009
0.440,0.249,-0.187,9.427,-0.030,0.009,0.012
0.450,0.335,-0.168,9.513,-0.024,0.007,0.009
0.460,0.263,-0.144,9.489,-0.025,0.012,0.007
0.470,0.259,-0.129,9.489,-0.025,0.010,0.010
0.480,0.287,-0.177,9.503,-0.031,0.010,0.012
0.490,0.235,-0.168,9.494,-0.025,0.013,0.010
0.500,0.273,-0.182,9.542,-0.027,0.007,0.010
0.510,0.244,-0.192,9.451,-0.029,0.010,0.013
0.520,0.225,-0.192,9.508,-0.027,0.011,0.008
0.530,0.235,-0.168,9.513,-0.029,0.006,0.006
0.540,0.263,-0.216,9.494,-0.025,0.013,0.009
0.550,0.254,-0.177,9.609,-0.029,0.013,0.011
0.560,0.254,-0.144,9.585,-0.030,0.012,0.007
0.570,0.254,-0.148,9.484,-0.026,0.010,0.007
0.580,0.225,-0.254,9.556,-0.022,0.012,0.010
0.590,0.254,-0.206,9.422,-0.029,0.011,0.009
0.600,0.225,-0.172,9.575,-0.026,0.009,0.011
0.610,0.249,-0.187,9.398,-0.026,0.009,0.010
0.620,0.302,-0.211,9.513,-0.028,0.007,0.009
0.630,0.244,-0.187,9.542,-0.024,0.012,0.009
0.640,0.311,-0.182,9.652,-0.030,0.007,0.009
0.650,0.287,-0.172,9.503,-0.023,0.012,0.009
0.660,0.268,-0.206,9.432,-0.031,0.011,0.009
0.670,0.187,-0.163,9.499,-0.030,0.008,0.009
0.680,0.235,-0.196,9.537,-0.024,0.006,0.012
0.690,0.268,-0.177,9.523,-0.024,0.006,0.011
0.700,0.249,-0.163,9.408,-0.028,0.007,0.009
0.710,0.254,-0.220,9.527,-0.029,0.005,0.011
0.720,0.230,-0.211,9.460,-0.029,0.007,0.011
0.730,0.302,-0.230,9.518,-0.029,0.008,0.013
0.740,0.240,-0.201,9.513,-0.028,0.010,0.009
0.750,0.268,-0.182,9.446,-0.030,0.014,0.014
0.760,0.307,-0.153,9.465,-0.025,0.012,0.010
0.770,0.283,-0.172,9.479,-0.027,0.014,0.012
0.780,0.316,-0.187,9.460,-0.026,0.013,0.010
0.790,0.259,-0.182,9.518,-0.030,0.011,0.009
0.800,0.307,-0.216,9.614,-0.032,0.008,0.011
0.810,0.268,-0.153,9.585,-0.028,0.007,0.009
0.820,0.278,-0.115,9.479,-0.024,0.009,0.013
0.830,0.192,-0.196,9.446,-0.028,0.013,0.011
0.840,0.292,-0.168,9.570,-0.028,0.013,0.013
0.850,0.273,-0.206,9.470,-0.029,0.011,0.010
0.860,0.249,-0.216,9.580,-0.029,0.007,0.010
0.870,0.259,-0.158,9.580,-0.025,0.010,0.011
0.880,0.297,-0.139,9.542,-0.024,0.008,0.010
0.890,0.278,-0.172,9.580,-0.025,0.009,0.007
